"Miro kieltäytyy ja sen kaveri kovistelee sitä siitä. Miro kertoo, että hänellä on treenit illalla eikä sen muutenkaan tee mieli alkoholia.","narrator"
"Juomaan painostaminen ei oo freshiä","player, option2"
"Olis sekin nyt voinut yhden ottaa","player, option1"
"Sofi vaikuttaa hermostuneelta ja se juo muutaman oluen nopeeseen tahtiin. Sillä on ollut sosiaalisten tilanteiden pelkoa, ehkä se koitti sitä vähentää päihteillä?","narrator"
"Mulla on vähän huono olo.","NPC_Sofi"
"Lähdet saattamaan Sofia ärtyneenä. Vastahan te tulitte.","player, option2"
"Okei sun kannattaa sit lähteä kotiin","player, option1"
"Miro ja sen kaverit painostaa sua viemään Sofi kotiin.","narrator"

"Scene 6: Sähköskootterilla kotiin"
"Scene 6 A"
"Sofi lähtee auttamaan sut kotiin. Meettekö kävellen vai sähköskootterilla?","narrator"
"Kävellen, ei tässä kunnossa kannata sähköskootteria ottaa","player, option1"
"Sähköskootterilla pääsee nopeemmin perille","player, option2"
"Nappaatte sähköskootterin, Sofi on onneks ajokunnossa. Sun olo on kuitenkin huono ja sun tasapaino pettää. Putoat sähköskootterin kyydistä ja melkein kaadat Sofinkin. Onneks ei käynyt pahemmin.","narrator"
"Hieno valinta. Päihteitä käyttäneenä ei todellakaan kannata ajaa mitään liikennevälinettä.","narrator"
"Kerrot kotimatkalla Sofille jointista jonka poltit.","narrator"
"Mun vanhemmat suuttuisivat todella paljon, jos mä jäisin jointin polttamisesta kiinni...","NPC_Sofi"
"Mitä luulet, miten sun vanhemmat reagoisi?","narrator"
"Me varmaan puhuttaisiin siitä yhdessä","player, option3"
"Ne varmaan suuttuis","player, option1"
"Ei niitä kiinnostais tollanen","player, option2"
"Vanhemmat ei aina osaa olla tukena vaikeissa tilanteissa. Päihteistä on kuitenkin tärkeä voida puhua. Välillä vanhemmat voi yllättää positiivisesti! Jos haluat ammattilaisen neuvoja voit laittaa viestiä esimerkiksi Nuortenlinkin nettineuvontaan.","narrator"
"Hienoa, että sulla on sellaset vanhemmat, joiden kanssa voi käydä vaikeitakin keskusteluita! Voit halutessasi myös kysyä mitä vaan nimettömästi ammattilaisilta Nuortenlinkin nettineuvonnasta.","narrator"

"Scene 6 B"
"Meettekö kävellen vai sähköskootterilla?","narrator"
"Valitsette sähköskootterin","player, option2"
"Kävelette 15 min kotiin","player, option1"
"Kaadutte ensimmäisessä risteyksessä ja Sofi teloo polvensa, onneksi ei käynyt pahemmin! Jos poliisi olis nähnyt, tosta olisi voinut saada sakot, kun humalassa ajaa sähköskootteria. Nyt matka on entistä hitaampi!","narrator"
"Hieno valinta. Päihteitä käytettynä ei todellakaan kannata ajaa mitään liikennevälinettä.","narrator"
"Pääsette lopulta kotiin ja Sofin äiti on ovella vastassa. Hän näkee, että Sofi on humaltuneen  oloinen ja vaikuttaa kiukkuiselta. Päätät poistua takavasemmalle. Mietit miten sun perheessä keskusteltaisiin vastaavassa tilanteessa.","narrator"
"Ne varmaan suuttuis","player, option1"
"Ei niitä kiinnostais tollanen","player, option2"
"Ne kävis asiallisesti keskusteluu","player, option3"
"Vanhemmat ei aina osaa olla tukena vaikeissa tilanteissa. Päihteistä on kuitenkin tärkeä voida puhua. Välillä vanhemmat voi yllättää positiivisesti! Jos haluat ammattilaisen neuvoja voit laittaa viestiä esimerkiksi Nuortenlinkin nettineuvontaan.","narrator"
"Hienoa, että sulla on sellaset vanhemmat, joiden kanssa voi käydä vaikeitakin keskusteluita! Voit halutessasi myös kysyä mitä vaan nimettömästi ammattilaisilta Nuortenlinkin nettineuvonnasta.","narrator"


"Scene 7 : Ending"
"Ending / Tekstari"
"Pääset kotiin ja rojahdat väsymyksestä suoraan sängylle. Mikä fiilis?","narrator"
"Pääset kotiin ja rojahdat väsymyksestä suoraan sängylle. Sofi laittaa viestiä ja kiittää, kun olit hänen tukena tänään.","narrator"
"Pääset kotiin ja rojahdat väsymyksestä suoraan sängylle. Tuomas laittaa sulle viestiä ja kiittää, että autoit sitä tänään.","narrator"
"Ei jaksa vastata.","player, option2"
"Päätät vastata sille.","player, option1"
"*tyhjä tekstikenttä*","oma vastaus"

"Ending / Random Groomer"
"Huh mikä päivä. Pääset kotiin väsyneenä. Nyt pitäis vielä jaksaa laittaa jotakin syötävää.","narrator"
"Pakastepizzaa","player, option1"
"Halloumisalaattia","player, option2"
"Joku random tyyppi laittoi sulle snapissä viestiä ja pyysi, että lähetät nudeja. Mitä vastaat?","narrator"
"Otat screenshotin, blockaat sen ja laitat sua varten somessa tiimille viestiä* lisätietoa","player, option2, keskeneräinen"
"Ehkä mä läpällä lähetän, se kuitenkin häviää snäpistä","player, option3"
"En vastaa mitään / block","player, option1"
"Loistava valinta! Nude kuvien pyytäminen alaikäisiltä on rikos. Tilanne saattaa tuntua ahdistavalta ja  tässä tapauksessa on tärkeää, ettet jää yksin ahdistuksen kanssa. Voit laittaa myös Nuortenlinkin nettineuvontaan tästä viestiä.","narrator, infobox"
"Nudejen pyytäminen alaikäisiltä on rikos. Vaikka snäpistä tulee ilmoitus, jos joku ottaa screenshotin, osa kiertää tätä nappaamalla kuvan talteen esimerkiksi toisella puhelimella.","narrator, infobox"
"Hyvä valinta. Nudejen pyyntö alaikäisiltä on rikos. Jos tilanne mietityttää tai ahdistaa, voit myös laittaa viestiä Nuortenlinkin nettineuvontaan tai Sua varten somessa tiimille tai kertoa asiasta muulle luotettavalle aikuiselle.","narrator, infobox"

"Nyt pitäis vielä jaksaa laittaa jotakin syötävää.","narrator"
"Mitäs sitä seuraavaks tekis?","narrator"
"Pakastepizzaa","player, option1"
"Halloumisalaattia","player, option2"
"Otan päikkärit","player, option2"
"Pelaan videopelejä","player, option3"
"Läksyt","player, option1"
"Hienoa, suoritit pelin loppuun. Voit halutessasi pelata pelin uudestaan ja kokeilla eri valintoja! Haluatko vielä lisätietoa  tai tukea liittyen johonkin näistä aiheista? Päihteet (alkoholi, huumeet, nuuska, tupakka, vape) Energiajuomat Pelaaminen ja rahapelit Someriippuvuus Mielenterveys Viiltely Yksinäisyys Kiusaaminen Vanhempien päihteiden käyttö Doping Verkkohäirintä Jokin muu","narrator"
